Transaction Date,Details,Account,Category,Subcategory,Debit,Credit,Balance,Original Description
1-May-22,Spotify,BigBank Expensive Card,Leisure,Music,11.99,,29452.92,Spotify P1b356fcd7 Sydney 036
30-Apr-22,Cru Bar And Cellar Sometown Va 036,BigBank Expensive Card,Food & Drink,Alcohol & Bars,284.75,,29737.67,Cru Bar And Cellar Sometown Va 036
30-Apr-22,King Fresh Pl Wherever 036,BigBank Expensive Card,Food & Drink,Other Food Expenses,27.96,,29765.63,King Fresh Pl Wherever 036
29-Apr-22,Uber Eats,BigBank Expensive Card,Food & Drink,Restaurants,38.08,,29803.71,Uber *eats Sydney 036
29-Apr-22,Coles Online 4431 Alderle 036,BigBank Expensive Card,Food & Drink,Groceries,99.31,,29903.02,Coles Online 4431 Alderle 036
28-Apr-22,Coles Online 4431 Alderle 036,BigBank Expensive Card,Food & Drink,Groceries,104.26,,30007.28,Coles Online 4431 Alderle 036
26-Apr-22,Coles Online,BigBank Expensive Card,Food & Drink,Groceries,170.32,,30177.6,Coles Online Hawthorn East
26-Apr-22,Regular pay,BigBank Expensive Card,Salary,Income ,,6500,23677.6,Salary 
26-Apr-22,Aldi Stores - Wherever Wherever,BigBank Expensive Card,Food & Drink,Groceries,108.81,,23786.41,Aldi Stores - Wherever Wherever
26-Apr-22,King Fresh Pl Wherever,BigBank Expensive Card,Food & Drink,Other Food Expenses,43.2,,23829.61,King Fresh Pl Wherever
26-Apr-22,Credit Card Payment,BigBank Expensive Card,Financial,Other Financials,,1200,22629.61,ONLINE PAYMENT SYDNEY
26-Apr-22,Outback Equipment Fromhere Plain,BigBank Expensive Card,Transportation,Auto Supplies,59.04,,22688.65,Outback Equipment Fromhere Plain
26-Apr-22,Allianz Insurance,BigBank Expensive Card,Insurance,Financial Insurance,87.2,,22775.85,Allianz Insure C1 Sydney
24-Apr-22,BWS (Muddy sdhf),BigBank Expensive Card,Food & Drink,Alcohol & Bars,22,,22797.85,Bws/t2 27 Connor Street Muddy Hds
23-Apr-22,Bunnings (Muddy Waters),BigBank Expensive Card,Home,Other Home Expenses,109.62,,22907.47,Bunnings 776000 Muddy Wate
23-Apr-22,Bunnings (Muddy Waters),BigBank Expensive Card,Home,Other Home Expenses,14.99,,22922.46,Bunnings 776000 Muddy Wate
22-Apr-22,Happy Coast Tourist Par Muddy Head,BigBank Expensive Card,Sports & Fitness,Camping,119,,23041.46,Happy Coast Tourist Par Muddy Head
